location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
PORT ADELAIDE,1,1,2016,Divided Road,FALSE,Hit Pedestrian,FALSE,FALSE
GOOLWA BEACH,1,1,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
BARMERA,1,1,2016,T-Junction,TRUE,Right Angle,FALSE,TRUE
BURRA,1,1,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
TEROWIE,1,1,2016,Other,TRUE,Hit Fixed Object,FALSE,FALSE
WANDILO,1,1,2016,Not Divided,TRUE,Roll Over,TRUE,TRUE
ADELAIDE,1,1,2016,Divided Road,TRUE,Hit Pedestrian,FALSE,FALSE
ECHUNGA,1,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,TRUE
ELIZABETH PARK,1,1,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
VIRGINIA,4,1,2016,Divided Road,FALSE,Roll Over,FALSE,FALSE
WUNKAR,4,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
SMITHFIELD,1,1,2016,Cross Road,TRUE,Right Turn,FALSE,FALSE
EVANSTON,4,1,2016,T-Junction,FALSE,Right Turn,FALSE,FALSE
BORDERTOWN,1,1,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,FALSE
MCLAREN VALE,2,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
ELIZABETH PARK,1,1,2016,Cross Road,FALSE,Hit Pedestrian,TRUE,FALSE
ROCKLEIGH,2,1,2016,Not Divided,FALSE,Roll Over,TRUE,FALSE
GREENWITH,2,1,2016,T-Junction,TRUE,Hit Pedestrian,FALSE,FALSE
VIRGINIA,4,1,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
WARD BELT,3,1,2016,Ramp Off,TRUE,Side Swipe,FALSE,FALSE
KAPUNDA,2,1,2016,Not Divided,FALSE,Roll Over,FALSE,TRUE
STOCKWELL,8,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
PARAFIELD GARDENS,1,1,2016,T-Junction,TRUE,Hit Pedestrian,FALSE,FALSE
BEDFORD PARK,4,1,2016,T-Junction,FALSE,Right Angle,FALSE,FALSE
INGOMAR,2,1,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
AMATA,1,1,2016,Not Divided,TRUE,Roll Over,FALSE,TRUE
MONASH,2,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
ELIZABETH SOUTH,3,1,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
BLANCHETOWN,1,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
REYNELLA,5,1,2016,Divided Road,FALSE,Rear End,FALSE,FALSE
ALDINGA,2,1,2016,Not Divided,FALSE,Head On,FALSE,TRUE
COORABIE,3,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
HONITON,1,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
WEST BEACH,1,1,2016,Divided Road,FALSE,Hit Pedestrian,FALSE,FALSE
PENOLA,4,4,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,TRUE
MYPOLONGA,3,1,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
GOULD CREEK,1,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
SNOWTOWN,1,1,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
WOODCROFT,2,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,TRUE
PIMBA,4,1,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
CHINBINGA,1,1,2016,Not Divided,TRUE,Roll Over,FALSE,TRUE
CYGNET RIVER,1,1,2016,Not Divided,FALSE,Roll Over,TRUE,FALSE
HACKHAM,9,3,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
STOCKYARD PLAIN,4,1,2016,Not Divided,FALSE,Head On,FALSE,FALSE
BOORS PLAIN,1,1,2016,Not Divided,TRUE,Roll Over,TRUE,FALSE
COOBOWIE,2,1,2016,Not Divided,FALSE,Head On,FALSE,TRUE
LARGS NORTH,4,1,2016,Divided Road,TRUE,Hit Pedestrian,TRUE,TRUE
SEAVIEW DOWNS,1,1,2016,Not Divided,TRUE,Head On,TRUE,FALSE
PARADISE,1,1,2016,T-Junction,TRUE,Rear End,FALSE,FALSE
HENLEY BEACH SOUTH,1,1,2016,Cross Road,TRUE,Roll Over,FALSE,FALSE
SALISBURY,1,1,2016,Cross Road,TRUE,Hit Pedestrian,FALSE,FALSE
HOYLETON,1,1,2016,Not Divided,TRUE,Hit Pedestrian,FALSE,FALSE
LINCOLN GAP,2,2,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
DRY CREEK,3,1,2016,Freeway,FALSE,Hit Fixed Object,FALSE,FALSE
HAMLEY BRIDGE,1,1,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,TRUE
BUNGAMA,3,1,2016,Not Divided,TRUE,Rear End,FALSE,FALSE
WILD DOG VALLEY,1,1,2016,Cross Road,TRUE,Right Angle,FALSE,FALSE
NURIOOTPA,6,1,2016,Not Divided,TRUE,Head On,FALSE,FALSE
MOUNT GEORGE,1,1,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
MURRAY BRIDGE,3,1,2016,Not Divided,TRUE,Side Swipe,FALSE,FALSE
BARMERA,1,1,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
NULLARBOR,1,1,2016,Not Divided,FALSE,Roll Over,FALSE,TRUE
MERRITON,8,4,2016,Not Divided,TRUE,Head On,FALSE,FALSE
STANLEY FLAT,1,1,2016,Not Divided,TRUE,Roll Over,FALSE,TRUE
EDWARDSTOWN,1,1,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,TRUE
BEDFORD PARK,2,1,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
LOCHABER,1,1,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
MIDDLEBACK RANGE,1,1,2016,Not Divided,TRUE,Roll Over,FALSE,TRUE
BELAIR,2,1,2016,Other,TRUE,Hit Fixed Object,FALSE,FALSE
NAPPERBY,4,1,2016,Cross Road,FALSE,Right Angle,FALSE,FALSE
